stage,start,end,artist
GREEN STAGE,11:00,12:00,ROUTE 17 Rock'n'Roll ORCHESTRA
GREEN STAGE,13:00,14:00,My Hair is Bad
GREEN STAGE,15:00,16:00,LOYLE CARNER
GREEN STAGE,17:00,18:00,TURNSTILE
GREEN STAGE,19:00,20:10,Hi-STANDARD
GREEN STAGE,21:25,22:40,The xx
WHITE STAGE,11:30,12:20,KOTORI
WHITE STAGE,13:00,13:50,SON ROMPE PERA
WHITE STAGE,14:40,15:40,Yo-Sea
WHITE STAGE,16:40,17:40,TORO Y MOI
WHITE STAGE,18:40,19:40,ARLO PARKS
WHITE STAGE,20:40,22:10,ASIAN KUNG-FU GENERATION
RED MARQUEE,11:10,11:50,テレビ大陸音頭
RED MARQUEE,12:20,13:10,w.o.d.
RED MARQUEE,14:00,15:00,SORRY
RED MARQUEE,16:00,17:00,TESTSET
RED MARQUEE,18:00,19:00,SNAIL MAIL
RED MARQUEE,20:10,21:10,HYUKOH
RED MARQUEE,23:30,24:20,maya ongaku
RED MARQUEE,24:30,26:00,TORO Y MOI
RED MARQUEE,26:00,27:30,salute
RED MARQUEE,27:30,29:00,Wata Igarashi
FIELD OF HEAVEN,12:10,13:00,CHAPPO
FIELD OF HEAVEN,13:50,14:50,奇妙礼太郎BAND
FIELD OF HEAVEN,15:40,16:40,ALTIN GÜN
FIELD OF HEAVEN,17:40,18:40,OGRE YOU ASSHOLE
FIELD OF HEAVEN,19:30,20:40,ANTIBALAS
FIELD OF HEAVEN,21:30,23:00,LETTUCE
ORANGE ECHO,13:00,13:40,クマイルス
ORANGE ECHO,14:50,15:30,MIZ
ORANGE ECHO,16:40,17:20,Mateus Asato
ORANGE ECHO,18:40,19:20,井上園子
ORANGE ECHO,20:40,21:20,Black Boboi
GYPSY AVALON,12:10,13:00,Upendra and friends plus Mr. Sunil
GYPSY AVALON,13:50,14:40,TAKUTO AND NEKKOYA BAND
GYPSY AVALON,15:40,16:30,藤田悠也
GYPSY AVALON,17:40,18:30,almenialva
GYPSY AVALON,19:40,20:40,BAD TRIP SUMMER (Night Ambient Set)
CRYSTAL PALACE TENT,22:30,23:45,DJ GONCHAN
CRYSTAL PALACE TENT,23:45,24:30,LA LOM
CRYSTAL PALACE TENT,24:30,25:30,TXAKO
CRYSTAL PALACE TENT,25:30,26:15,BOHEMIAN BETYARS
CRYSTAL PALACE TENT,26:15,27:15,CUMBIA KID
CRYSTAL PALACE TENT,27:15,28:00,SON ROMPE PERA
CRYSTAL PALACE TENT,28:00,29:00,JAPAN CUMBIA FESTIVAL DJs
PALACE ARENA,24:30,24:45,SAKURA CIRCUS
PALACE ARENA,25:30,25:45,SAKURA CIRCUS
PALACE ARENA,26:30,26:45,SAKURA CIRCUS
ROOKIE A GO-GO,23:00,23:30,和泉眞生
ROOKIE A GO-GO,24:00,24:30,GeGeGe
ROOKIE A GO-GO,25:00,25:30,Bone Us
ROOKIE A GO-GO,26:00,26:30,砂の壁
ROOKIE A GO-GO,27:00,27:30,TIVE
苗場食堂,11:50,12:30,杉本ラララ
苗場食堂,13:15,13:55,快速東京
苗場食堂,15:10,15:50,ENTH
苗場食堂,17:10,17:50,苗場音楽突撃隊
苗場食堂,19:10,19:50,TENDOUJI
苗場食堂,21:10,21:50,SHADOWS
苗場食堂,22:45,23:25,GOOD4NOTHING
PYRAMID GARDEN,08:30,09:20,ヨガワークショップ / 渋木さやか
PYRAMID GARDEN,09:40,10:40,LOVE FOR NIPPON
PYRAMID GARDEN,11:30,12:30,el tempo
PYRAMID GARDEN,16:00,18:00,DJ QUIETSTORM
PYRAMID GARDEN,18:00,20:00,Kon & y.（Timothy Really）
PYRAMID GARDEN,20:00,22:00,CRAZY-T
PYRAMID GARDEN,22:30,23:30,君島大空 × 水野蒼生 電氣交響楽団
PYRAMID GARDEN,24:20,25:20,Aki
GAN-BAN SQUARE,23:30,25:00,SUGIURUMN
GAN-BAN SQUARE,25:00,26:00,Natsuki Fujimoto (Tempalay)
GAN-BAN SQUARE,26:00,27:30,E.O.U
GAN-BAN SQUARE,27:30,29:00,youhei(BLACK GANION/UNTTLD)
BLUE GALAXY,12:30,14:00,DJ JIM
BLUE GALAXY,14:00,14:50,DJ HANA-G
BLUE GALAXY,14:50,15:30,Bamboo Boy
BLUE GALAXY,15:30,16:10,TOYO P
BLUE GALAXY,16:10,17:00,DJ SCNDLS
BLUE GALAXY,17:00,17:50,TEKASA
BLUE GALAXY,17:50,18:40,CUMBIA KID
BLUE GALAXY,18:40,19:30,RIHO
BLUE GALAXY,19:30,20:20,RJD
BLUE GALAXY,20:20,21:10,BABY SOUL
BLUE GALAXY,21:10,22:00,DOC.KOYAMANTADO
BLUE GALAXY,22:00,23:00,DJ COLA
BLUE GALAXY,23:00,24:00,DJ JIM
