stage,start,end,artist
GREEN STAGE,11:00,12:00,Bialystocks
GREEN STAGE,13:00,14:00,Trueno
GREEN STAGE,15:00,16:00,IO
GREEN STAGE,17:00,18:00,BASEMENT JAXX
GREEN STAGE,19:00,20:10,Fujii Kaze
GREEN STAGE,21:10,22:40,KHRUANGBIN
WHITE STAGE,12:10,13:00,Riddim Saunter
WHITE STAGE,13:50,14:40,BOHEMIAN BETYARS
WHITE STAGE,15:30,16:30,Kroi
WHITE STAGE,17:50,18:50,JOEY VALENCE & BRAE
WHITE STAGE,19:50,20:50,XG
WHITE STAGE,22:00,23:15,TOMORA
RED MARQUEE,10:20,11:00,ブランデー戦記
RED MARQUEE,11:30,12:10,SIX LOUNGE
RED MARQUEE,12:40,13:30,QUADECA
RED MARQUEE,14:00,15:00,THE BETHS
RED MARQUEE,16:00,17:00,cero
RED MARQUEE,18:00,19:00,THURSTON MOORE GROUP
RED MARQUEE,20:10,21:10,サニーデイ・サービス
RED MARQUEE,23:30,24:20,唾奇
RED MARQUEE,24:30,26:00,KELLY LEE OWENS (DJ)
RED MARQUEE,26:00,27:30,Weval DJ Set
RED MARQUEE,27:30,29:00,Soichi Terada
FIELD OF HEAVEN,11:10,12:00,柴田聡子(BAND SET)
FIELD OF HEAVEN,12:50,13:50,YUUF
FIELD OF HEAVEN,14:40,15:40,LA LOM
FIELD OF HEAVEN,16:40,17:40,OAU
FIELD OF HEAVEN,18:30,19:40,KOKOROKO
FIELD OF HEAVEN,20:30,22:00,BADBADNOTGOOD
ORANGE ECHO,10:50,11:30,来島エル
ORANGE ECHO,12:15,12:55,タデクイ
ORANGE ECHO,13:50,14:30,neco眠る
ORANGE ECHO,15:40,16:20,CADEJO
ORANGE ECHO,17:50,18:30,DMBQ
ORANGE ECHO,19:50,20:30,Bongjeingan
GYPSY AVALON,11:00,12:00,ケロポンズ
GYPSY AVALON,13:00,13:50,MASH弦楽団
GYPSY AVALON,14:40,15:20,アトミック・カフェ トーク【福島事故から15年】
GYPSY AVALON,16:30,17:20,梅井美咲
GYPSY AVALON,18:50,19:40,中西レモン＆すずめのティアーズ
GYPSY AVALON,20:50,21:50,jizue
CRYSTAL PALACE TENT,22:30,23:45,BABY SOUL
CRYSTAL PALACE TENT,23:45,24:30,STOMPIN' RIFFRAFFS
CRYSTAL PALACE TENT,24:30,25:30,GAZ MAYALL
CRYSTAL PALACE TENT,25:30,26:15,THE KING LION
CRYSTAL PALACE TENT,26:15,27:15,KING NABE
CRYSTAL PALACE TENT,27:15,28:00,ZIONHILL SESSION
CRYSTAL PALACE TENT,28:00,29:00,RUBY FLASHMAN
PALACE ARENA,24:30,24:45,SAKURA CIRCUS
PALACE ARENA,25:30,25:45,SAKURA CIRCUS
PALACE ARENA,26:30,26:45,SAKURA CIRCUS
ROOKIE A GO-GO,22:00,22:30,A_Root同根生
ROOKIE A GO-GO,23:00,23:30,mayu
ROOKIE A GO-GO,24:00,24:30,日髙晴野
ROOKIE A GO-GO,25:00,25:30,Tocago
ROOKIE A GO-GO,26:00,26:30,猿臂
ROOKIE A GO-GO,27:00,27:30,二兆円
苗場食堂,12:10,12:50,Za SAVAGE
苗場食堂,13:30,14:10,寺久保伶矢
苗場食堂,15:10,15:50,NONE THE WiSER
苗場食堂,17:10,17:50,ANIEKY A GO GO ! BAND
苗場食堂,19:10,19:50,苗場音楽突撃隊
苗場食堂,21:10,21:50,the Tiger
苗場食堂,22:45,23:25,HOT DOG EXPRESS
PYRAMID GARDEN,08:30,09:20,ヨガワークショップ / 渋木さやか
PYRAMID GARDEN,09:40,10:40,GOMA
PYRAMID GARDEN,11:30,12:30,Michael Kaneko
PYRAMID GARDEN,16:30,19:30,YOSHIROTTEN
PYRAMID GARDEN,19:30,20:30,AOIZO
PYRAMID GARDEN,20:30,22:00,BAKU (KAIKOO)
PYRAMID GARDEN,23:00,24:00,ずっと真夜中でいいのに。(スパイシーズ状態)
PYRAMID GARDEN,24:50,25:50,SILENT POETS（DUB ENSEMBLE)
GAN-BAN SQUARE,23:30,24:30,AAAMYYY (Tempalay)
GAN-BAN SQUARE,24:30,26:00,MONJOE
GAN-BAN SQUARE,26:00,26:45,O.N.O (THA BLUE HERB)
GAN-BAN SQUARE,26:45,27:45,MaL a.k.a. Primal Dub
GAN-BAN SQUARE,27:45,29:00,Lomax(NC4K)
BLUE GALAXY,12:50,14:00,DJ JIM
BLUE GALAXY,14:00,14:50,DJ GONCHAN
BLUE GALAXY,14:50,15:30,NORTH KANTO REBEL SOUND CLASH
BLUE GALAXY,15:30,16:20,JAPAN CUMBIA FESTIVAL DJs
BLUE GALAXY,16:20,17:10,FUMINN
BLUE GALAXY,17:10,18:00,TXAKO
BLUE GALAXY,18:00,18:50,DJ TOMMY
BLUE GALAXY,18:50,21:20,CLUB SKA
BLUE GALAXY,21:20,22:00,SPECIAL GUEST
BLUE GALAXY,22:00,23:00,RIHO
BLUE GALAXY,23:00,24:00,DJ JIM
