stage,start,end,artist
GREEN STAGE,11:00,12:00,平井 大
GREEN STAGE,13:00,14:00,DONAVON FRANKENREITER
GREEN STAGE,15:00,16:00,KNEECAP
GREEN STAGE,17:00,18:00,MOGWAI
GREEN STAGE,19:00,20:10,平沢進+会人
GREEN STAGE,21:10,22:40,MASSIVE ATTACK
WHITE STAGE,12:40,13:30,礼賛
WHITE STAGE,14:20,15:10,GRAPEVINE
WHITE STAGE,16:10,17:10,SOFIA ISELLA
WHITE STAGE,18:10,19:10,GEORDIE GREEP
WHITE STAGE,20:00,21:00,Tempalay
WHITE STAGE,22:10,23:40,MITSKI
RED MARQUEE,10:20,11:00,Aooo
RED MARQUEE,11:30,12:10,US
RED MARQUEE,12:40,13:30,浅井健一
RED MARQUEE,14:00,15:00,THE LEMON TWIGS
RED MARQUEE,16:00,17:00,the cabs
RED MARQUEE,18:00,19:00,FRIKO
RED MARQUEE,20:10,21:10,AMERICAN FOOTBALL
RED MARQUEE,23:00,23:45,US
RED MARQUEE,23:50,24:35,LAUSBUB
RED MARQUEE,24:40,25:40,KIRARA
RED MARQUEE,25:45,27:00,ICHIRO YAMAGUCHI (sakanaction)
RED MARQUEE,27:00,29:00,TAKKYU ISHINO
FIELD OF HEAVEN,11:50,12:40,んoon
FIELD OF HEAVEN,13:20,14:20,TĀL FRY
FIELD OF HEAVEN,15:10,16:10,PLINI
FIELD OF HEAVEN,17:10,18:10,THE BREAKS
FIELD OF HEAVEN,19:00,20:10,ANGINE DE POITRINE
FIELD OF HEAVEN,21:00,22:30,never young beach
ORANGE ECHO,12:40,13:20,藤原さくら
ORANGE ECHO,14:20,15:00,岡田拓郎
ORANGE ECHO,16:10,16:50,Noridogam
ORANGE ECHO,18:20,19:00,KIKI
ORANGE ECHO,20:10,20:50,BUFFALO DAUGHTER
GYPSY AVALON,11:40,12:30,Gingersamm
GYPSY AVALON,13:30,14:10,アトミック・カフェ 曽我部恵一
GYPSY AVALON,14:10,14:50,アトミック・カフェ トーク【戦争と平和】
GYPSY AVALON,15:35,16:20,アトミック・カフェ 忌野清志郎 PEACE SONGS
GYPSY AVALON,17:20,18:10,スーパー登山部
GYPSY AVALON,19:10,20:00,こたに
GYPSY AVALON,21:00,22:00,NakamuraEmi
CRYSTAL PALACE TENT,22:30,23:45,GEORGE WILLIAMS
CRYSTAL PALACE TENT,23:45,24:30,SPECIAL GUEST
CRYSTAL PALACE TENT,24:30,25:30,YUSUKE OGAWA
CRYSTAL PALACE TENT,25:30,26:15,TĀL FRY
CRYSTAL PALACE TENT,26:15,27:15,DAISUKE KURODA
CRYSTAL PALACE TENT,27:15,28:00,EXPANSION
CRYSTAL PALACE TENT,28:00,29:00,P.O.W ALL STARS
PALACE ARENA,24:30,24:45,SAKURA CIRCUS
PALACE ARENA,25:30,25:45,SAKURA CIRCUS
PALACE ARENA,26:30,26:45,SAKURA CIRCUS
ROOKIE A GO-GO,23:00,23:30,岩崎桃子
ROOKIE A GO-GO,24:00,24:30,OLDMAN
ROOKIE A GO-GO,25:00,25:30,SYAYOS
ROOKIE A GO-GO,26:00,26:30,Wappen
ROOKIE A GO-GO,27:00,27:30,It’s US!!!!
苗場食堂,12:10,12:50,鬼の右腕
苗場食堂,13:30,14:10,揺らぎ
苗場食堂,15:10,15:50,saccharin
苗場食堂,17:10,17:50,Keishi Tanaka
苗場食堂,19:10,19:50,苗場音楽突撃隊
苗場食堂,21:10,21:50,REGA
苗場食堂,22:45,23:25,xxxx xxx xxxxxxx
PYRAMID GARDEN,08:30,09:20,ヨガワークショップ / 渋木さやか
PYRAMID GARDEN,09:40,10:40,チャラン・ポ・ランタン
PYRAMID GARDEN,11:30,12:30,Caravan
PYRAMID GARDEN,16:00,19:00,Kadal
PYRAMID GARDEN,19:00,22:00,KOTARO
PYRAMID GARDEN,22:30,23:30,蓮沼執太チーム
PYRAMID GARDEN,24:20,25:20,TENDRE
GAN-BAN SQUARE,23:30,25:00,TAKU INOUE
GAN-BAN SQUARE,25:00,28:00,ANTS HOUSE (Nariaki & Nomizo & Rintaro Sekizuka)
BLUE GALAXY,12:00,13:00,DJ JIM
BLUE GALAXY,13:00,13:40,田原“104”洋
BLUE GALAXY,13:40,14:30,NAOKI IENAGA (DUB STORE RECORDS)
BLUE GALAXY,14:30,15:10,TIM ROCKINS
BLUE GALAXY,15:50,16:30,Nozomu
BLUE GALAXY,16:30,17:10,Can Dream®
BLUE GALAXY,17:10,17:50,Satria Ramadhan
BLUE GALAXY,17:50,18:30,JAMAiCAN TiME
BLUE GALAXY,18:30,19:10,RJD
BLUE GALAXY,19:10,20:00,HANASUBI
BLUE GALAXY,20:00,20:40,DJ JIM
BLUE GALAXY,20:40,22:00,Yutaro
BLUE GALAXY,22:00,23:00,DR. IHARA
BLUE GALAXY,23:00,24:00,DJ JIM
