day,stage,start,end,artist
24 FRI,GREEN STAGE,11:00,12:00,ROUTE 17 Rock'n'Roll ORCHESTRA
24 FRI,GREEN STAGE,13:00,14:00,My Hair is Bad
24 FRI,GREEN STAGE,15:00,16:00,LOYLE CARNER
24 FRI,GREEN STAGE,17:00,18:00,TURNSTILE
24 FRI,GREEN STAGE,19:00,20:10,Hi-STANDARD
24 FRI,GREEN STAGE,21:25,22:40,The xx
24 FRI,WHITE STAGE,11:30,12:20,KOTORI
24 FRI,WHITE STAGE,13:00,13:50,SON ROMPE PERA
24 FRI,WHITE STAGE,14:40,15:40,Yo-Sea
24 FRI,WHITE STAGE,16:40,17:40,TORO Y MOI
24 FRI,WHITE STAGE,18:40,19:40,ARLO PARKS
24 FRI,WHITE STAGE,20:40,22:10,ASIAN KUNG-FU GENERATION
24 FRI,RED MARQUEE,11:10,11:50,テレビ大陸音頭
24 FRI,RED MARQUEE,12:20,13:10,w.o.d.
24 FRI,RED MARQUEE,14:00,15:00,SORRY
24 FRI,RED MARQUEE,16:00,17:00,TESTSET
24 FRI,RED MARQUEE,18:00,19:00,SNAIL MAIL
24 FRI,RED MARQUEE,20:10,21:10,HYUKOH
24 FRI,RED MARQUEE,23:30,24:20,maya ongaku
24 FRI,RED MARQUEE,24:30,26:00,TORO Y MOI
24 FRI,RED MARQUEE,26:00,27:30,salute
24 FRI,RED MARQUEE,27:30,29:00,Wata Igarashi
24 FRI,FIELD OF HEAVEN,12:10,13:00,CHAPPO
24 FRI,FIELD OF HEAVEN,13:50,14:50,奇妙礼太郎BAND
24 FRI,FIELD OF HEAVEN,15:40,16:40,ALTIN GÜN
24 FRI,FIELD OF HEAVEN,17:40,18:40,OGRE YOU ASSHOLE
24 FRI,FIELD OF HEAVEN,19:30,20:40,ANTIBALAS
24 FRI,FIELD OF HEAVEN,21:30,23:00,LETTUCE
24 FRI,ORANGE ECHO,13:00,13:40,クマイルス
24 FRI,ORANGE ECHO,14:50,15:30,MIZ
24 FRI,ORANGE ECHO,16:40,17:20,Mateus Asato
24 FRI,ORANGE ECHO,18:40,19:20,井上園子
24 FRI,ORANGE ECHO,20:40,21:20,Black Boboi
24 FRI,GYPSY AVALON,12:10,13:00,Upendra and friends plus Mr. Sunil
24 FRI,GYPSY AVALON,13:50,14:40,TAKUTO AND NEKKOYA BAND
24 FRI,GYPSY AVALON,15:40,16:30,藤田悠也
24 FRI,GYPSY AVALON,17:40,18:30,almenialva
24 FRI,GYPSY AVALON,19:40,20:40,BAD TRIP SUMMER (Night Ambient Set)
24 FRI,CRYSTAL PALACE TENT,22:30,23:45,DJ GONCHAN
24 FRI,CRYSTAL PALACE TENT,23:45,24:30,LA LOM
24 FRI,CRYSTAL PALACE TENT,24:30,25:30,TXAKO
24 FRI,CRYSTAL PALACE TENT,25:30,26:15,BOHEMIAN BETYARS
24 FRI,CRYSTAL PALACE TENT,26:15,27:15,CUMBIA KID
24 FRI,CRYSTAL PALACE TENT,27:15,28:00,SON ROMPE PERA
24 FRI,CRYSTAL PALACE TENT,28:00,29:00,JAPAN CUMBIA FESTIVAL DJs
24 FRI,PALACE ARENA,24:30,24:45,SAKURA CIRCUS
24 FRI,PALACE ARENA,25:30,25:45,SAKURA CIRCUS
24 FRI,PALACE ARENA,26:30,26:45,SAKURA CIRCUS
24 FRI,ROOKIE A GO-GO,23:00,23:30,和泉眞生
24 FRI,ROOKIE A GO-GO,24:00,24:30,GeGeGe
24 FRI,ROOKIE A GO-GO,25:00,25:30,Bone Us
24 FRI,ROOKIE A GO-GO,26:00,26:30,砂の壁
24 FRI,ROOKIE A GO-GO,27:00,27:30,TIVE
24 FRI,苗場食堂,11:50,12:30,杉本ラララ
24 FRI,苗場食堂,13:15,13:55,快速東京
24 FRI,苗場食堂,15:10,15:50,ENTH
24 FRI,苗場食堂,17:10,17:50,苗場音楽突撃隊
24 FRI,苗場食堂,19:10,19:50,TENDOUJI
